movie_name,review,sentiment_label,sentiment_score,sentiment
Inception,Mind-bending and visually stunning.,positive,0.5,0.3818
Inception,DiCaprio is fantastic in the lead role.,positive,0.4,0.5574
Inception,"Nolan's direction is masterful, creating a complex and engaging plot.",positive,0.3666666666666667,0.5574
Inception,The score by Hans Zimmer is iconic.,positive,0.5,0.0
Inception,A modern sci-fi classic that requires multiple viewings.,positive,0.1222222222222222,0.0
The Dark Knight,A superhero masterpiece with a stellar performance by Heath Ledger.,positive,0.25,0.6249
The Dark Knight,Bale delivers a compelling Batman.,positive,0.3,0.2263
The Dark Knight,"Nolan's direction is dark and gritty, perfectly capturing the tone of Gotham.",positive,0.2833333333333333,0.6369
The Dark Knight,The action sequences are breathtaking.,positive,0.55,0.4588
The Dark Knight,Considered by many to be the greatest superhero film ever made.,positive,0.75,0.6369
Interstellar,A visually stunning and emotionally resonant space epic.,positive,0.1999999999999999,0.3818
Interstellar,McConaughey gives a powerful performance.,positive,0.3,0.4215
Interstellar,Nolan tackles complex scientific concepts with grace and clarity.,negative,-0.3,0.6705
Interstellar,"The film explores themes of love, loss, and the human spirit.",positive,0.25,0.5574
Interstellar,A breathtaking cinematic experience that will leave you in awe.,positive,0.5,0.4215
The Social Network,A brilliant and captivating film about the founding of Facebook.,positive,0.7,0.5859
The Social Network,Eisenberg delivers a phenomenal performance as Zuckerberg.,positive,0.5,0.0
The Social Network,"Fincher's direction is top-notch, creating a tense and engaging narrative.",positive,0.3555555555555556,0.296
The Social Network,"The script is sharp and witty, exploring complex themes of ambition and betrayal.",positive,0.025,-0.5859
The Social Network,A modern classic that accurately portrays the digital age.,positive,0.1916666666666667,0.0
Parasite,A masterpiece of social satire and suspense.,positive,0.0333333333333333,0.6249
Parasite,Bong Joon-ho's direction is masterful.,positive,1.0,0.0
Parasite,The film is both hilarious and deeply disturbing.,neutral,0.0,-0.2247
Parasite,A must-watch that will stay with you long after the credits roll.,negative,-0.05,0.3612
Parasite,Parasite is a truly original and unforgettable cinematic experience.,positive,0.3916666666666666,0.6369
The Social Network,A brilliant and captivating film about the founding of Facebook.,positive,0.7,0.5859
The Social Network,Eisenberg delivers a phenomenal performance as Zuckerberg.,positive,0.5,0.0
The Social Network,"Fincher's direction is top-notch, creating a tense and engaging narrative.",positive,0.3555555555555556,0.296
The Social Network,"The script is sharp and witty, exploring complex themes of ambition and betrayal.",positive,0.025,-0.5859
The Social Network,A modern classic that accurately portrays the digital age.,positive,0.1916666666666667,0.0
Parasite,A masterpiece of social satire and suspense.,positive,0.0333333333333333,0.6249
Parasite,Bong Joon-ho's direction is masterful.,positive,1.0,0.0
Parasite,The film is both hilarious and deeply disturbing.,neutral,0.0,-0.2247
Parasite,A must-watch that will stay with you long after the credits roll.,negative,-0.05,0.3612
Parasite,Parasite is a truly original and unforgettable cinematic experience.,positive,0.3916666666666666,0.6369
Avengers: Endgame,A satisfying and epic conclusion to the Avengers saga.,positive,0.3,0.4588
Avengers: Endgame,"Full of action, emotion, and fan-service moments.",positive,0.2249999999999999,0.0
Avengers: Endgame,"The performances are top-notch, especially Downey Jr.'s.",positive,0.5,0.0
Avengers: Endgame,A must-see for any Marvel fan.,neutral,0.0,0.6249
Avengers: Endgame,Endgame is a cinematic triumph that delivers on all fronts.,neutral,0.0,0.4767
Interstellar,A visually stunning and intellectually stimulating sci-fi masterpiece.,positive,0.4,0.9001
Interstellar,Nolan's direction is ambitious and thought-provoking.,positive,0.325,0.4767
Interstellar,McConaughey delivers a powerful and emotional performance.,positive,0.15,0.5267
Interstellar,"The film explores complex themes of time, space, and human connection.",negative,-0.15,0.0
Interstellar,Interstellar is a cinematic journey that will leave you in awe.,neutral,0.0,-0.0516
The Silence of the Lambs,A chilling and suspenseful thriller that redefined the genre.,negative,-0.25,0.0772
The Silence of the Lambs,Hopkins' performance as Hannibal Lecter is iconic and terrifying.,negative,-0.25,-0.5719
The Silence of the Lambs,Foster is brilliant as Clarice Starling.,positive,0.9,0.5859
The Silence of the Lambs,Demme's direction creates a claustrophobic and unsettling atmosphere.,negative,-0.625,0.2732
The Silence of the Lambs,A timeless classic that remains as effective today as it was upon release.,positive,0.3833333333333333,0.4767
Psycho,Hitchcock's masterpiece of suspense and horror.,neutral,0.0,0.1027
Psycho,Perkins delivers a haunting performance as Norman Bates.,neutral,0.0,-0.2732
Psycho,The shower scene is one of the most iconic moments in cinema history.,positive,0.5,0.0
Psycho,A groundbreaking film that continues to influence filmmakers today.,neutral,0.0,0.0
Psycho,Psycho is a must-see for any fan of suspense and psychological thrillers.,neutral,0.0,0.34
Inception,Mind-bending and visually stunning.,positive,0.5,0.3818
Inception,DiCaprio delivers a powerful performance.,positive,0.3,0.4215
Inception,"Nolan's direction is masterful, creating a complex and engaging narrative.",positive,0.3666666666666667,0.5574
Inception,The score by Hans Zimmer is iconic.,positive,0.5,0.0
Inception,A modern sci-fi classic that requires multiple viewings.,positive,0.1222222222222222,0.0
The Dark Knight,A superhero masterpiece with a phenomenal villain.,positive,0.5,0.128
The Dark Knight,Ledger's Joker is legendary.,positive,1.0,0.128
The Dark Knight,Bale's Batman is dark and compelling.,positive,0.075,0.2263
The Dark Knight,Nolan's direction is gritty and realistic.,positive,0.0833333333333333,0.0
The Dark Knight,A cinematic triumph that redefined the superhero genre.,neutral,0.0,0.4767
Interstellar,A visually breathtaking and emotionally resonant sci-fi epic.,positive,0.3666666666666667,0.4588
Interstellar,McConaughey delivers a career-defining performance.,neutral,0.0,0.0
Interstellar,Nolan's direction is ambitious and thought-provoking.,positive,0.325,0.4767
Interstellar,The science in the film is surprisingly accurate.,positive,0.4000000000000001,0.296
Interstellar,"A powerful and moving story about love, loss, and the future of humanity.",positive,0.2666666666666666,0.6908
Inception,Mind-bending and visually stunning.,positive,0.5,0.3818
Inception,"Nolan at his best, a complex and intelligent thriller.",positive,0.5,0.8225
Inception,DiCaprio delivers a powerful performance.,positive,0.3,0.4215
Inception,The score by Hans Zimmer is iconic.,positive,0.5,0.0
Inception,A cinematic masterpiece that requires multiple viewings.,neutral,0.0,0.6249
Interstellar,An epic and emotional sci-fi journey.,positive,0.05,0.1531
Interstellar,Visually breathtaking and scientifically grounded.,positive,1.0,0.4588
Interstellar,McConaughey's performance is heart-wrenching.,neutral,0.0,0.0
Interstellar,"Nolan explores themes of love, time, and space with brilliance.",positive,0.5,0.8442
Interstellar,A modern sci-fi classic that pushes the boundaries of the genre.,positive,0.1833333333333333,0.0
The Dark Knight,"The definitive superhero film, dark and gritty.",negative,-0.075,0.0
The Dark Knight,"Ledger's Joker is legendary, a truly iconic villain.",positive,0.75,-0.0516
The Dark Knight,Bale's Batman is compelling and complex.,neutral,0.0,0.2263
The Dark Knight,"Nolan's direction is masterful, creating a gripping narrative.",positive,0.75,0.296
The Dark Knight,A cinematic triumph that transcends the superhero genre.,neutral,0.0,0.4767
Inception,Mind-bending and visually stunning.,positive,0.5,0.3818
Inception,"Nolan's best work, a true masterpiece.",positive,0.675,0.9022
Inception,DiCaprio delivers a powerful performance.,positive,0.3,0.4215
Inception,The plot is intricate and keeps you guessing until the end.,neutral,0.0,0.1531
Inception,A cinematic experience unlike any other.,negative,-0.0625,0.0
The Matrix,Revolutionary and iconic sci-fi film.,positive,0.5,0.0
The Matrix,The action sequences are groundbreaking.,positive,0.1,0.0
The Matrix,Reeves is perfect as Neo.,positive,1.0,0.5719
The Matrix,A thought-provoking exploration of reality and choice.,positive,0.4,0.2263
The Matrix,A must-see for any sci-fi fan.,neutral,0.0,0.3182
Interstellar,Epic and emotionally resonant space adventure.,positive,0.05,0.3182
Interstellar,McConaughey gives a career-defining performance.,neutral,0.0,0.0
Interstellar,Visually breathtaking and scientifically grounded.,positive,1.0,0.4588
Interstellar,"A story about love, time, and the human spirit.",positive,0.25,0.7096
Interstellar,Nolan's ambitious and profound masterpiece.,positive,0.1666666666666666,0.802
Inception,Mind-bending and visually stunning.,positive,0.5,0.3818
Inception,"Nolan at his best, crafting a complex and engaging plot.",positive,0.3666666666666667,0.765
Inception,"The acting is superb, especially DiCaprio.",positive,0.3333333333333333,0.6249
Inception,A film that demands multiple viewings to fully appreciate.,neutral,0.0,0.4576
Inception,Inception is a modern sci-fi masterpiece.,positive,0.2,0.6249
The Dark Knight,A genre-defining superhero film.,neutral,0.0,0.0
The Dark Knight,Ledger's Joker is iconic and unforgettable.,positive,0.65,0.128
The Dark Knight,"Dark, gritty, and emotionally resonant.",negative,-0.0499999999999999,0.0
The Dark Knight,Elevates the superhero genre to new heights.,positive,0.1363636363636363,0.0
The Dark Knight,The Dark Knight is a cinematic triumph.,negative,-0.075,0.4767
Schindler's List,A powerful and heartbreaking portrayal of the Holocaust.,positive,0.3,-0.0516
Schindler's List,"Spielberg's masterpiece, emotionally resonant and historically significant.",positive,0.1875,0.7096
Schindler's List,Neeson's performance is unforgettable.,positive,0.8,0.0
Schindler's List,A film that everyone should see to understand history.,neutral,0.0,0.0
Schindler's List,Schindler's List is a testament to the resilience of the human spirit.,neutral,0.0,0.1779
The King's Speech,Inspiring and beautifully acted historical drama.,positive,0.45,0.7579
The King's Speech,Firth and Rush are brilliant together.,positive,0.9,0.5859
The King's Speech,A moving story of courage and determination.,neutral,0.0,0.7096
The King's Speech,The King's Speech is a wonderfully crafted and heartwarming film.,positive,1.0,0.7906
The King's Speech,A must-see for fans of historical dramas.,neutral,0.0,0.0
Spirited Away,A magical and enchanting animated film.,positive,0.5,0.0
Spirited Away,"Miyazaki's masterpiece, visually stunning and emotionally rich.",positive,0.4375,0.8834
Spirited Away,A timeless story that appeals to all ages.,neutral,0.0,0.0
Spirited Away,Spirited Away is a cinematic treasure.,positive,0.25,0.5423
Spirited Away,A must-watch for animation lovers.,neutral,0.0,0.5267
Your Name.,Beautifully animated and emotionally resonant.,positive,0.425,0.5719
Your Name.,A touching and unforgettable story of connection and destiny.,positive,0.65,0.0
Your Name.,Shinkai's visual style is breathtaking.,positive,0.5,0.4588
Your Name.,Your Name. is a modern anime classic.,positive,0.1833333333333333,0.0
Your Name.,A film that will leave you in awe and tears.,neutral,0.0,-0.2732
Inception,A mind-bending and visually stunning masterpiece.,positive,0.5,0.7717
Inception,DiCaprio is fantastic in the lead role.,positive,0.4,0.5574
Inception,Nolan's direction is ambitious and innovative.,positive,0.375,0.7184
Inception,The plot is complex and keeps you guessing until the very end.,negative,-0.0499999999999999,0.0
Inception,Inception is a cinematic experience unlike any other.,negative,-0.0625,0.0
The Dark Knight,"A dark, complex, and unforgettable superhero film.",positive,0.1166666666666667,0.0
The Dark Knight,Ledger's Joker is iconic and terrifying.,negative,-0.25,-0.4939
The Dark Knight,Nolan elevates the superhero genre to new heights.,positive,0.1363636363636363,0.0
The Dark Knight,The action sequences are thrilling and expertly crafted.,positive,0.175,0.4767
The Dark Knight,The Dark Knight is a cinematic triumph.,negative,-0.075,0.4767
Interstellar,A visually breathtaking and emotionally resonant sci-fi epic.,positive,0.3666666666666667,0.4588
Interstellar,McConaughey delivers a powerful and moving performance.,positive,0.3,0.4215
Interstellar,Nolan's direction is grand and ambitious.,positive,0.375,0.7269
Interstellar,"The film explores complex themes of time, space, and humanity's place in the universe.",negative,-0.3,0.0
Interstellar,Interstellar is a modern sci-fi masterpiece.,positive,0.2,0.6249
The Social Network,A brilliant and captivating film about the founding of Facebook.,positive,0.7,0.5859
The Social Network,Eisenberg delivers a phenomenal performance as Zuckerberg.,positive,0.5,0.0
The Social Network,"Fincher's direction is top-notch, creating a tense and engaging narrative.",positive,0.3555555555555556,0.296
The Social Network,"The script is sharp and witty, exploring complex themes of ambition and betrayal.",positive,0.025,-0.5859
The Social Network,A modern classic that accurately portrays the digital age.,positive,0.1916666666666667,0.0
Parasite,A masterpiece of social satire and suspense.,positive,0.0333333333333333,0.6249
Parasite,Bong Joon-ho's direction is masterful.,positive,1.0,0.0
Parasite,The film is both hilarious and deeply disturbing.,neutral,0.0,-0.2247
Parasite,A must-watch that will stay with you long after the credits roll.,negative,-0.05,0.3612
Parasite,Parasite is a truly original and unforgettable cinematic experience.,positive,0.3916666666666666,0.6369
Inception,A mind-bending and visually stunning masterpiece.,positive,0.5,0.7717
Inception,Nolan's direction is ambitious and innovative.,positive,0.375,0.7184
Inception,DiCaprio delivers a captivating performance.,positive,0.5,0.0
Inception,The plot is intricate and keeps you guessing until the end.,neutral,0.0,0.1531
Inception,Inception is a cinematic experience unlike any other.,negative,-0.0625,0.0
The Dark Knight,"A dark, complex, and unforgettable superhero film.",positive,0.1166666666666667,0.0
The Dark Knight,Ledger's Joker is iconic and terrifying.,negative,-0.25,-0.4939
The Dark Knight,Nolan creates a gritty and realistic Gotham.,positive,0.0833333333333333,0.2732
The Dark Knight,The action sequences are thrilling and impactful.,positive,0.175,0.4767
The Dark Knight,The Dark Knight raises the bar for superhero movies.,negative,-0.15,0.0
Inception,Mind-bending and visually stunning.,positive,0.5,0.3818
Inception,DiCaprio is fantastic in the lead role.,positive,0.4,0.5574
Inception,"Nolan's direction is masterful, creating a complex and engaging plot.",positive,0.3666666666666667,0.5574
Inception,The score by Hans Zimmer is iconic.,positive,0.5,0.0
Inception,A modern sci-fi classic that rewards multiple viewings.,positive,0.1222222222222222,0.4767
The Dark Knight,A superhero masterpiece with a dark and complex story.,negative,-0.2249999999999999,0.6249
The Dark Knight,Ledger's performance as the Joker is legendary.,positive,1.0,0.128
The Dark Knight,Nolan's direction is gritty and realistic.,positive,0.0833333333333333,0.0
The Dark Knight,The action sequences are breathtaking.,positive,0.55,0.4588
The Dark Knight,A cinematic triumph that redefined the superhero genre.,neutral,0.0,0.4767
Spirited Away,A magical and enchanting animated film.,positive,0.5,0.0
Spirited Away,Visually stunning and emotionally resonant.,positive,0.25,0.3818
Spirited Away,Miyazaki's storytelling is timeless and universal.,neutral,0.0,0.0
Spirited Away,A beautiful and heartwarming tale for all ages.,positive,0.85,0.7906
Spirited Away,Spirited Away is a true work of art.,positive,0.425,0.6249
Inception,Mind-bending and visually stunning!,positive,0.625,0.4389
Inception,DiCaprio is excellent as Dom Cobb.,positive,1.0,0.5719
