data,success
"{'movie_name': 'Inception', 'review': 'Mind-bending and visually stunning.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'DiCaprio is fantastic in the lead role.', 'sentiment_label': 'positive', 'sentiment_score': 0.4}",True
"{'movie_name': 'Inception', 'review': ""Nolan's direction is masterful, creating a complex and engaging plot."", 'sentiment_label': 'positive', 'sentiment_score': 0.3666666666666667}",True
"{'movie_name': 'Inception', 'review': 'The score by Hans Zimmer is iconic.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'A modern sci-fi classic that requires multiple viewings.', 'sentiment_label': 'positive', 'sentiment_score': 0.12222222222222223}",True
"{'movie_name': 'The Dark Knight', 'review': 'A superhero masterpiece with a stellar performance by Heath Ledger.', 'sentiment_label': 'positive', 'sentiment_score': 0.25}",True
"{'movie_name': 'The Dark Knight', 'review': 'Bale delivers a compelling Batman.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': 'The Dark Knight', 'review': ""Nolan's direction is dark and gritty, perfectly capturing the tone of Gotham."", 'sentiment_label': 'positive', 'sentiment_score': 0.2833333333333333}",True
"{'movie_name': 'The Dark Knight', 'review': 'The action sequences are breathtaking.', 'sentiment_label': 'positive', 'sentiment_score': 0.55}",True
"{'movie_name': 'The Dark Knight', 'review': 'Considered by many to be the greatest superhero film ever made.', 'sentiment_label': 'positive', 'sentiment_score': 0.75}",True
"{'movie_name': 'Interstellar', 'review': 'A visually stunning and emotionally resonant space epic.', 'sentiment_label': 'positive', 'sentiment_score': 0.19999999999999998}",True
"{'movie_name': 'Interstellar', 'review': 'McConaughey gives a powerful performance.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': 'Interstellar', 'review': 'Nolan tackles complex scientific concepts with grace and clarity.', 'sentiment_label': 'negative', 'sentiment_score': -0.3}",True
"{'movie_name': 'Interstellar', 'review': 'The film explores themes of love, loss, and the human spirit.', 'sentiment_label': 'positive', 'sentiment_score': 0.25}",True
"{'movie_name': 'Interstellar', 'review': 'A breathtaking cinematic experience that will leave you in awe.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'The Social Network', 'review': 'A brilliant and captivating film about the founding of Facebook.', 'sentiment_label': 'positive', 'sentiment_score': 0.7}",True
"{'movie_name': 'The Social Network', 'review': 'Eisenberg delivers a phenomenal performance as Zuckerberg.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'The Social Network', 'review': ""Fincher's direction is top-notch, creating a tense and engaging narrative."", 'sentiment_label': 'positive', 'sentiment_score': 0.3555555555555556}",True
"{'movie_name': 'The Social Network', 'review': 'The script is sharp and witty, exploring complex themes of ambition and betrayal.', 'sentiment_label': 'positive', 'sentiment_score': 0.025000000000000005}",True
"{'movie_name': 'The Social Network', 'review': 'A modern classic that accurately portrays the digital age.', 'sentiment_label': 'positive', 'sentiment_score': 0.1916666666666667}",True
"{'movie_name': 'Parasite', 'review': 'A masterpiece of social satire and suspense.', 'sentiment_label': 'positive', 'sentiment_score': 0.03333333333333333}",True
"{'movie_name': 'Parasite', 'review': ""Bong Joon-ho's direction is masterful."", 'sentiment_label': 'positive', 'sentiment_score': 1.0}",True
"{'movie_name': 'Parasite', 'review': 'The film is both hilarious and deeply disturbing.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Parasite', 'review': 'A must-watch that will stay with you long after the credits roll.', 'sentiment_label': 'negative', 'sentiment_score': -0.05}",True
"{'movie_name': 'Parasite', 'review': 'Parasite is a truly original and unforgettable cinematic experience.', 'sentiment_label': 'positive', 'sentiment_score': 0.39166666666666666}",True
"{'movie_name': 'The Social Network', 'review': 'A brilliant and captivating film about the founding of Facebook.', 'sentiment_label': 'positive', 'sentiment_score': 0.7}",True
"{'movie_name': 'The Social Network', 'review': 'Eisenberg delivers a phenomenal performance as Zuckerberg.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'The Social Network', 'review': ""Fincher's direction is top-notch, creating a tense and engaging narrative."", 'sentiment_label': 'positive', 'sentiment_score': 0.3555555555555556}",True
"{'movie_name': 'The Social Network', 'review': 'The script is sharp and witty, exploring complex themes of ambition and betrayal.', 'sentiment_label': 'positive', 'sentiment_score': 0.025000000000000005}",True
"{'movie_name': 'The Social Network', 'review': 'A modern classic that accurately portrays the digital age.', 'sentiment_label': 'positive', 'sentiment_score': 0.1916666666666667}",True
"{'movie_name': 'Parasite', 'review': 'A masterpiece of social satire and suspense.', 'sentiment_label': 'positive', 'sentiment_score': 0.03333333333333333}",True
"{'movie_name': 'Parasite', 'review': ""Bong Joon-ho's direction is masterful."", 'sentiment_label': 'positive', 'sentiment_score': 1.0}",True
"{'movie_name': 'Parasite', 'review': 'The film is both hilarious and deeply disturbing.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Parasite', 'review': 'A must-watch that will stay with you long after the credits roll.', 'sentiment_label': 'negative', 'sentiment_score': -0.05}",True
"{'movie_name': 'Parasite', 'review': 'Parasite is a truly original and unforgettable cinematic experience.', 'sentiment_label': 'positive', 'sentiment_score': 0.39166666666666666}",True
"{'movie_name': 'Avengers: Endgame', 'review': 'A satisfying and epic conclusion to the Avengers saga.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': 'Avengers: Endgame', 'review': 'Full of action, emotion, and fan-service moments.', 'sentiment_label': 'positive', 'sentiment_score': 0.22499999999999998}",True
"{'movie_name': 'Avengers: Endgame', 'review': ""The performances are top-notch, especially Downey Jr.'s."", 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Avengers: Endgame', 'review': 'A must-see for any Marvel fan.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Avengers: Endgame', 'review': 'Endgame is a cinematic triumph that delivers on all fronts.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Interstellar', 'review': 'A visually stunning and intellectually stimulating sci-fi masterpiece.', 'sentiment_label': 'positive', 'sentiment_score': 0.4}",True
"{'movie_name': 'Interstellar', 'review': ""Nolan's direction is ambitious and thought-provoking."", 'sentiment_label': 'positive', 'sentiment_score': 0.325}",True
"{'movie_name': 'Interstellar', 'review': 'McConaughey delivers a powerful and emotional performance.', 'sentiment_label': 'positive', 'sentiment_score': 0.15}",True
"{'movie_name': 'Interstellar', 'review': 'The film explores complex themes of time, space, and human connection.', 'sentiment_label': 'negative', 'sentiment_score': -0.15}",True
"{'movie_name': 'Interstellar', 'review': 'Interstellar is a cinematic journey that will leave you in awe.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'The Silence of the Lambs', 'review': 'A chilling and suspenseful thriller that redefined the genre.', 'sentiment_label': 'negative', 'sentiment_score': -0.25}",True
"{'movie_name': 'The Silence of the Lambs', 'review': ""Hopkins' performance as Hannibal Lecter is iconic and terrifying."", 'sentiment_label': 'negative', 'sentiment_score': -0.25}",True
"{'movie_name': 'The Silence of the Lambs', 'review': 'Foster is brilliant as Clarice Starling.', 'sentiment_label': 'positive', 'sentiment_score': 0.9}",True
"{'movie_name': 'The Silence of the Lambs', 'review': ""Demme's direction creates a claustrophobic and unsettling atmosphere."", 'sentiment_label': 'negative', 'sentiment_score': -0.625}",True
"{'movie_name': 'The Silence of the Lambs', 'review': 'A timeless classic that remains as effective today as it was upon release.', 'sentiment_label': 'positive', 'sentiment_score': 0.3833333333333333}",True
"{'movie_name': 'Psycho', 'review': ""Hitchcock's masterpiece of suspense and horror."", 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Psycho', 'review': 'Perkins delivers a haunting performance as Norman Bates.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Psycho', 'review': 'The shower scene is one of the most iconic moments in cinema history.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Psycho', 'review': 'A groundbreaking film that continues to influence filmmakers today.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Psycho', 'review': 'Psycho is a must-see for any fan of suspense and psychological thrillers.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Inception', 'review': 'Mind-bending and visually stunning.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'DiCaprio delivers a powerful performance.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': 'Inception', 'review': ""Nolan's direction is masterful, creating a complex and engaging narrative."", 'sentiment_label': 'positive', 'sentiment_score': 0.3666666666666667}",True
"{'movie_name': 'Inception', 'review': 'The score by Hans Zimmer is iconic.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'A modern sci-fi classic that requires multiple viewings.', 'sentiment_label': 'positive', 'sentiment_score': 0.12222222222222223}",True
"{'movie_name': 'The Dark Knight', 'review': 'A superhero masterpiece with a phenomenal villain.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'The Dark Knight', 'review': ""Ledger's Joker is legendary."", 'sentiment_label': 'positive', 'sentiment_score': 1.0}",True
"{'movie_name': 'The Dark Knight', 'review': ""Bale's Batman is dark and compelling."", 'sentiment_label': 'positive', 'sentiment_score': 0.075}",True
"{'movie_name': 'The Dark Knight', 'review': ""Nolan's direction is gritty and realistic."", 'sentiment_label': 'positive', 'sentiment_score': 0.08333333333333333}",True
"{'movie_name': 'The Dark Knight', 'review': 'A cinematic triumph that redefined the superhero genre.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Interstellar', 'review': 'A visually breathtaking and emotionally resonant sci-fi epic.', 'sentiment_label': 'positive', 'sentiment_score': 0.3666666666666667}",True
"{'movie_name': 'Interstellar', 'review': 'McConaughey delivers a career-defining performance.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Interstellar', 'review': ""Nolan's direction is ambitious and thought-provoking."", 'sentiment_label': 'positive', 'sentiment_score': 0.325}",True
"{'movie_name': 'Interstellar', 'review': 'The science in the film is surprisingly accurate.', 'sentiment_label': 'positive', 'sentiment_score': 0.4000000000000001}",True
"{'movie_name': 'Interstellar', 'review': 'A powerful and moving story about love, loss, and the future of humanity.', 'sentiment_label': 'positive', 'sentiment_score': 0.26666666666666666}",True
"{'movie_name': 'Inception', 'review': 'Mind-bending and visually stunning.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'Nolan at his best, a complex and intelligent thriller.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'DiCaprio delivers a powerful performance.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': 'Inception', 'review': 'The score by Hans Zimmer is iconic.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'A cinematic masterpiece that requires multiple viewings.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Interstellar', 'review': 'An epic and emotional sci-fi journey.', 'sentiment_label': 'positive', 'sentiment_score': 0.05}",True
"{'movie_name': 'Interstellar', 'review': 'Visually breathtaking and scientifically grounded.', 'sentiment_label': 'positive', 'sentiment_score': 1.0}",True
"{'movie_name': 'Interstellar', 'review': ""McConaughey's performance is heart-wrenching."", 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Interstellar', 'review': 'Nolan explores themes of love, time, and space with brilliance.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Interstellar', 'review': 'A modern sci-fi classic that pushes the boundaries of the genre.', 'sentiment_label': 'positive', 'sentiment_score': 0.18333333333333335}",True
"{'movie_name': 'The Dark Knight', 'review': 'The definitive superhero film, dark and gritty.', 'sentiment_label': 'negative', 'sentiment_score': -0.075}",True
"{'movie_name': 'The Dark Knight', 'review': ""Ledger's Joker is legendary, a truly iconic villain."", 'sentiment_label': 'positive', 'sentiment_score': 0.75}",True
"{'movie_name': 'The Dark Knight', 'review': ""Bale's Batman is compelling and complex."", 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'The Dark Knight', 'review': ""Nolan's direction is masterful, creating a gripping narrative."", 'sentiment_label': 'positive', 'sentiment_score': 0.75}",True
"{'movie_name': 'The Dark Knight', 'review': 'A cinematic triumph that transcends the superhero genre.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Inception', 'review': 'Mind-bending and visually stunning.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': ""Nolan's best work, a true masterpiece."", 'sentiment_label': 'positive', 'sentiment_score': 0.675}",True
"{'movie_name': 'Inception', 'review': 'DiCaprio delivers a powerful performance.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': 'Inception', 'review': 'The plot is intricate and keeps you guessing until the end.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Inception', 'review': 'A cinematic experience unlike any other.', 'sentiment_label': 'negative', 'sentiment_score': -0.0625}",True
"{'movie_name': 'The Matrix', 'review': 'Revolutionary and iconic sci-fi film.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'The Matrix', 'review': 'The action sequences are groundbreaking.', 'sentiment_label': 'positive', 'sentiment_score': 0.1}",True
"{'movie_name': 'The Matrix', 'review': 'Reeves is perfect as Neo.', 'sentiment_label': 'positive', 'sentiment_score': 1.0}",True
"{'movie_name': 'The Matrix', 'review': 'A thought-provoking exploration of reality and choice.', 'sentiment_label': 'positive', 'sentiment_score': 0.4}",True
"{'movie_name': 'The Matrix', 'review': 'A must-see for any sci-fi fan.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Interstellar', 'review': 'Epic and emotionally resonant space adventure.', 'sentiment_label': 'positive', 'sentiment_score': 0.05}",True
"{'movie_name': 'Interstellar', 'review': 'McConaughey gives a career-defining performance.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Interstellar', 'review': 'Visually breathtaking and scientifically grounded.', 'sentiment_label': 'positive', 'sentiment_score': 1.0}",True
"{'movie_name': 'Interstellar', 'review': 'A story about love, time, and the human spirit.', 'sentiment_label': 'positive', 'sentiment_score': 0.25}",True
"{'movie_name': 'Interstellar', 'review': ""Nolan's ambitious and profound masterpiece."", 'sentiment_label': 'positive', 'sentiment_score': 0.16666666666666666}",True
"{'movie_name': 'Inception', 'review': 'Mind-bending and visually stunning.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'Nolan at his best, crafting a complex and engaging plot.', 'sentiment_label': 'positive', 'sentiment_score': 0.3666666666666667}",True
"{'movie_name': 'Inception', 'review': 'The acting is superb, especially DiCaprio.', 'sentiment_label': 'positive', 'sentiment_score': 0.3333333333333333}",True
"{'movie_name': 'Inception', 'review': 'A film that demands multiple viewings to fully appreciate.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Inception', 'review': 'Inception is a modern sci-fi masterpiece.', 'sentiment_label': 'positive', 'sentiment_score': 0.2}",True
"{'movie_name': 'The Dark Knight', 'review': 'A genre-defining superhero film.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'The Dark Knight', 'review': ""Ledger's Joker is iconic and unforgettable."", 'sentiment_label': 'positive', 'sentiment_score': 0.65}",True
"{'movie_name': 'The Dark Knight', 'review': 'Dark, gritty, and emotionally resonant.', 'sentiment_label': 'negative', 'sentiment_score': -0.049999999999999996}",True
"{'movie_name': 'The Dark Knight', 'review': 'Elevates the superhero genre to new heights.', 'sentiment_label': 'positive', 'sentiment_score': 0.13636363636363635}",True
"{'movie_name': 'The Dark Knight', 'review': 'The Dark Knight is a cinematic triumph.', 'sentiment_label': 'negative', 'sentiment_score': -0.075}",True
"{'movie_name': ""Schindler's List"", 'review': 'A powerful and heartbreaking portrayal of the Holocaust.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': ""Schindler's List"", 'review': ""Spielberg's masterpiece, emotionally resonant and historically significant."", 'sentiment_label': 'positive', 'sentiment_score': 0.1875}",True
"{'movie_name': ""Schindler's List"", 'review': ""Neeson's performance is unforgettable."", 'sentiment_label': 'positive', 'sentiment_score': 0.8}",True
"{'movie_name': ""Schindler's List"", 'review': 'A film that everyone should see to understand history.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': ""Schindler's List"", 'review': ""Schindler's List is a testament to the resilience of the human spirit."", 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': ""The King's Speech"", 'review': 'Inspiring and beautifully acted historical drama.', 'sentiment_label': 'positive', 'sentiment_score': 0.45}",True
"{'movie_name': ""The King's Speech"", 'review': 'Firth and Rush are brilliant together.', 'sentiment_label': 'positive', 'sentiment_score': 0.9}",True
"{'movie_name': ""The King's Speech"", 'review': 'A moving story of courage and determination.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': ""The King's Speech"", 'review': ""The King's Speech is a wonderfully crafted and heartwarming film."", 'sentiment_label': 'positive', 'sentiment_score': 1.0}",True
"{'movie_name': ""The King's Speech"", 'review': 'A must-see for fans of historical dramas.', 'sentiment_label': 'neutral', 'sentiment_score': 0.0}",True
"{'movie_name': 'Spirited Away', 'review': 'A magical and enchanting animated film.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
